,Engine Address,Message Descriptor,Sequence Number,Data byte count,RPM (setpoint),RPM (setpoint %),RPM (actual),RPM (actual %),EGT,Pump Volts (setpoint),Pump Volts (actual),State,Battery Volts,Battery Volt Level %,Battery Current,Airspeed,PWM-THR,PWM-AUX,CRC16_Given,CRC16_Calculated
0,1,1,0,26,0,0.0,0,0.0,23.0,0.0,0.0,0,11.46,93.0,0.2,0.0,0.0,0.0,45333,45333
1,1,1,0,26,0,0.0,0,0.0,23.0,0.0,0.0,0,11.46,93.0,0.2,0.0,0.0,0.0,45333,45333
2,1,1,0,26,0,0.0,0,0.0,23.0,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,30221,30221
3,1,1,0,26,0,0.0,0,0.0,23.0,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,30221,30221
4,1,1,0,26,0,0.0,0,0.0,23.200000000000003,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,38487,38487
5,1,1,0,26,0,0.0,0,0.0,23.1,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,26114,26114
6,1,1,0,26,0,0.0,0,0.0,23.1,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,26114,26114
7,1,1,0,26,0,0.0,0,0.0,23.1,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,26114,26114
8,1,1,0,26,0,0.0,0,0.0,23.1,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,26114,26114
9,1,1,0,26,0,0.0,0,0.0,23.0,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,30221,30221
10,1,1,0,26,0,0.0,0,0.0,23.0,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,30221,30221
11,1,1,0,26,0,0.0,0,0.0,23.200000000000003,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,38487,38487
12,1,1,0,26,0,0.0,0,0.0,23.200000000000003,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,38487,38487
13,1,1,0,26,0,0.0,0,0.0,23.1,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,26114,26114
14,1,1,0,26,0,0.0,0,0.0,23.1,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,26114,26114
15,1,1,0,26,0,0.0,0,0.0,23.1,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,26114,26114
16,1,1,0,26,0,0.0,0,0.0,23.0,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,30221,30221
17,1,1,0,26,0,0.0,0,0.0,23.0,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,30221,30221
18,1,1,0,26,0,0.0,0,0.0,23.0,0.0,0.0,0,11.46,93.0,0.2,0.0,0.0,0.0,45333,45333
19,1,1,0,26,0,0.0,0,0.0,23.0,0.0,0.0,0,11.46,93.0,0.2,0.0,0.0,0.0,45333,45333
20,1,1,0,26,0,0.0,0,0.0,23.0,0.0,0.0,0,11.46,93.0,0.2,0.0,0.0,0.0,45333,45333
21,1,1,0,26,0,0.0,0,0.0,23.0,0.0,0.0,0,11.46,93.0,0.2,0.0,0.0,0.0,45333,45333
22,1,1,0,26,0,0.0,0,0.0,23.200000000000003,0.0,0.0,0,11.46,93.0,0.2,0.0,0.0,0.0,20815,20815
23,1,1,0,26,0,0.0,0,0.0,23.200000000000003,0.0,0.0,0,11.46,93.0,0.2,0.0,0.0,0.0,20815,20815
24,1,1,0,26,0,0.0,0,0.0,23.1,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,26114,26114
25,1,1,0,26,0,0.0,0,0.0,23.1,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,26114,26114
26,1,1,0,26,0,0.0,0,0.0,23.0,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,30221,30221
27,1,1,0,26,0,0.0,0,0.0,23.0,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,30221,30221
28,1,1,0,26,0,0.0,0,0.0,23.0,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,30221,30221
29,1,1,0,26,0,0.0,0,0.0,23.0,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,30221,30221
30,1,1,0,26,0,0.0,0,0.0,23.0,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,30221,30221
31,1,1,0,26,0,0.0,0,0.0,23.0,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,30221,30221
32,1,1,0,26,0,0.0,0,0.0,23.0,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,30221,30221
33,1,1,0,26,0,0.0,0,0.0,23.0,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,30221,30221
34,1,1,0,26,0,0.0,0,0.0,23.0,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,30221,30221
35,1,1,0,26,0,0.0,0,0.0,23.0,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,30221,30221
36,1,1,0,26,0,0.0,0,0.0,22.900000000000002,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,17948,17948
37,1,1,0,26,0,0.0,0,0.0,22.900000000000002,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,17948,17948
38,1,1,0,26,0,0.0,0,0.0,22.900000000000002,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,17948,17948
39,1,1,0,26,0,0.0,0,0.0,22.900000000000002,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,17948,17948
40,1,1,0,26,0,0.0,0,0.0,22.900000000000002,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,17948,17948
41,1,1,0,26,0,0.0,0,0.0,22.900000000000002,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,17948,17948
42,1,1,0,26,0,0.0,0,0.0,23.1,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,26114,26114
43,1,1,0,26,0,0.0,0,0.0,23.1,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,26114,26114
44,1,1,0,26,0,0.0,0,0.0,23.1,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,26114,26114
45,1,1,0,26,0,0.0,0,0.0,23.0,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,30221,30221
46,1,1,0,26,0,0.0,0,0.0,23.0,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,30221,30221
47,1,1,0,26,0,0.0,0,0.0,23.200000000000003,0.0,0.0,0,11.46,93.0,0.19,0.0,0.0,0.0,38487,38487
